TIMESTAMP             | TID   | EVENT | SIZE (KB) | CURRENT TID RSS (KB) | PFN | Request-ID | Req-Param
------------------------------------------------------------------------------------------------------------------------------------------------
06:15:06.401246 | 208275 | ALLOC |     32.00 |                32.00 | 3618536 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.400912 | 208277 | ALLOC |      4.00 |                 4.00 | 3873734 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.400946 | 208277 | ALLOC |     32.00 |                36.00 | 3583096 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.401327 | 208277 | FREE  |     32.00 |                 0.00 | 3583096 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.401633 | 208283 | ALLOC |      4.00 |                 4.00 | 3873735 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401662 | 208283 | ALLOC |     32.00 |                36.00 | 3583096 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401720 | 208286 | ALLOC |     32.00 |                32.00 | 3220848 | ComposeText_seq0_e81ab3f9a247d8b2 | 245996811938174976
06:15:06.400880 | 208276 | ALLOC |      4.00 |                 4.00 | 3929874 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.400919 | 208276 | ALLOC |     32.00 |                36.00 | 3606256 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.401722 | 208285 | ALLOC |      4.00 |                 4.00 | 3929739 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401750 | 208285 | ALLOC |     32.00 |                36.00 | 3583160 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.402034 | 208285 | FREE  |     32.00 |                 0.00 | 3583160 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401389 | 208280 | ALLOC |      4.00 |                 4.00 | 3015099 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401396 | 208280 | ALLOC |      4.00 |                 8.00 | 3873357 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401411 | 208280 | ALLOC |      4.00 |                12.00 | 3873358 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401446 | 208280 | ALLOC |      4.00 |                16.00 | 3622956 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401451 | 208280 | ALLOC |      4.00 |                20.00 | 3873359 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401461 | 208280 | ALLOC |      4.00 |                24.00 | 3873360 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401494 | 208280 | ALLOC |      4.00 |                28.00 | 1519966 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401499 | 208280 | ALLOC |      4.00 |                32.00 | 3873361 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401508 | 208280 | ALLOC |      4.00 |                36.00 | 3873362 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401242 | 208279 | ALLOC |     32.00 |                32.00 | 3550296 | ComposeText_seq0_667851b6c99b35ce | 623657488676140544
06:15:06.401648 | 208279 | FREE  |     32.00 |                 0.00 | 3550296 | ComposeText_seq0_667851b6c99b35ce | 623657488676140544
06:15:06.400798 | 208273 | ALLOC |      4.00 |                 4.00 | 4248469 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.400815 | 208273 | ALLOC |      4.00 |                 8.00 | 4248470 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.400858 | 208273 | ALLOC |      4.00 |                12.00 | 4248471 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.400869 | 208273 | ALLOC |      4.00 |                16.00 | 4248472 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.401451 | 208282 | ALLOC |     32.00 |                32.00 | 3604512 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.400815 | 208274 | ALLOC |     32.00 |                32.00 | 3560256 | ComposePost_seq0_8443d3bae3c86841 | 623657488676140544
06:15:06.402159 | 208282 | FREE  |     32.00 |                 0.00 | 3604512 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401505 | 208284 | ALLOC |      4.00 |                 4.00 | 3929379 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401540 | 208284 | ALLOC |     32.00 |                36.00 | 2090520 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.401734 | 208287 | ALLOC |     32.00 |                32.00 | 3574744 | ComposeText_seq0_e81ab3f9a247d8b2 | 245996811938174976
06:15:06.401742 | 208284 | FREE  |     32.00 |                 0.00 | 2090520 | ComposePost_seq0_effbf065c1aec4c8 | 245996811938174976
06:15:06.402959 | 208278 | ALLOC |     32.00 |                32.00 | 3556632 | ComposeText_seq0_667851b6c99b35ce | 623657488676140544
06:15:06.403267 | 208278 | FREE  |     32.00 |                 0.00 | 3556632 | ComposeText_seq0_667851b6c99b35ce | 623657488676140544
06:15:06.406621 | 208354 | ALLOC |     32.00 |                32.00 | 2866672 | ComposeText_seq0_9f1ca1612419b7a0 | 879394336510968704
06:15:06.406675 | 208355 | ALLOC |     32.00 |                32.00 | 3565576 | ComposeText_seq0_c97408d655e178a6 | 707743704306764544
06:15:06.406730 | 208357 | ALLOC |     32.00 |                32.00 | 3556632 | ComposeText_seq0_c97408d655e178a6 | 707743704306764544
06:15:06.406870 | 208354 | FREE  |     32.00 |                 0.00 | 2866672 | ComposeText_seq0_9f1ca1612419b7a0 | 879394336510968704
06:15:06.406913 | 208355 | FREE  |     32.00 |                 0.00 | 3565576 | ComposeText_seq0_c97408d655e178a6 | 707743704306764544
06:15:06.408413 | 208357 | FREE  |     32.00 |                 0.00 | 3556632 | ComposeText_seq0_c97408d655e178a6 | 707743704306764544
06:15:06.411461 | 208439 | ALLOC |     32.00 |                32.00 | 3556632 | ComposePost_seq0_203f8f363238ac17 | 537894054951923328
06:15:06.411656 | 208439 | FREE  |     32.00 |                 0.00 | 3556632 | ComposePost_seq0_203f8f363238ac17 | 537894054951923328
06:15:06.411695 | 208423 | ALLOC |      4.00 |                60.00 | 1859824 | ComposePost_seq0_203f8f363238ac17 | 537894054951923328
06:15:06.411701 | 208402 | FREE  |      4.00 |                44.00 | 4251696 | ComposePost_seq0_ee469bd5f1dabd82 | 502908273795594752
06:15:06.411703 | 208402 | FREE  |      4.00 |                40.00 | 4251695 | ComposePost_seq0_ee469bd5f1dabd82 | 502908273795594752
